2017-12-04 00:42:59.951 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::init:00268 | [manager] init begin
2017-12-04 00:42:59.970 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::init:00349 | [manager] max uploader count: 1, max downloader count: 1
2017-12-04 00:42:59.979 GMT+08:00 Mon |    Debug | T0000004848 | ..\src\aspera_manager.cpp:check_thread_run:00182 | check thread - 0 run begin
2017-12-04 00:42:59.980 GMT+08:00 Mon |    Debug | T0000004848 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01140 | [manager] do check thread - 0 begin
2017-12-04 00:42:59.989 GMT+08:00 Mon |    Debug | T0000001736 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 0 run begin
2017-12-04 00:42:59.989 GMT+08:00 Mon |    Debug | T0000001736 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01247 | [manager] do upload thread - 0 begin
2017-12-04 00:42:59.999 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::init:00419 | [manager] init success
2017-12-04 00:42:59.999 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 0 run begin
2017-12-04 00:42:59.999 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::push_download_task:00820 | push download [task:1, job:0] success
2017-12-04 00:42:59.999 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01415 | [manager] do download thread - 0 begin
2017-12-04 00:43:00.000 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01438 | [download | thread - 0 | downloader - 34357696] task info: [storage:34316, user:1813119, task:1] (9771442_jad_ba_0080_lgt_landingboat_v004_lps/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr) -> (Y:/jade_jad-3888/ba/0080/elements/3d/lgt_landingboat/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:00.000 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01453 | [download | thread - 0 | downloader - 34357696] download begin: [task:1, job:0] (9771442_jad_ba_0080_lgt_landingboat_v004_lps/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:00.007 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00184 | [downloader - 34357696] send connect request, max transmit speed: 1048576KB/S
2017-12-04 00:43:04.178 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00209 | [downloader - 34357696] create aspera session with server [101.201.149.28] success: {429af096-1a32-4926-a169-651a6c4ea52a}
2017-12-04 00:43:04.178 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00088 | [downloader - 34357696] send connect request
2017-12-04 00:43:04.509 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00080 | [downloader - 34357696] recv connect response: session name {429af096-1a32-4926-a169-651a6c4ea52a}
2017-12-04 00:43:04.510 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00081 | [downloader - 34357696] target transfer rate modified to 125000KB/S
2017-12-04 00:43:05.899 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00080 | [downloader - 34357696] recv connect response: session name {429af096-1a32-4926-a169-651a6c4ea52a}
2017-12-04 00:43:05.899 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00081 | [downloader - 34357696] target transfer rate modified to 125000KB/S
2017-12-04 00:43:06.085 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00136 | [downloader - 34357696] file transmit begin notify: notify file name (Y:/jade_jad-3888/ba/0080/elements/3d/lgt_landingboat/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:06.107 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 34357696] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0080/elements/3d/lgt_landingboat/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:06.107 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 34357696] [task:1] download file success (Y:/jade_jad-3888/ba/0080/elements/3d/lgt_landingboat/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:06.368 GMT+08:00 Mon |    Debug | T0000008532 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00125 | [downloader - 34357696] recv disconnect response: session name {429af096-1a32-4926-a169-651a6c4ea52a}
2017-12-04 00:43:06.368 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01524 | [download | thread - 0 | downloader - 34357696] download success: [task:1, job:0] (9771442_jad_ba_0080_lgt_landingboat_v004_lps/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr), file count (1)
2017-12-04 00:43:06.369 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01534 | [download | thread - 0 | downloader - 34357696] download end: [task:1, job:0] (9771442_jad_ba_0080_lgt_landingboat_v004_lps/masterLayer/v005/fullres/IDObj_55_56_57/jad_ba_0080_lgt_landingboat_masterLayer_v005_lps.IDObj_55_56_57.1010.exr)
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::exit:00433 | [manager] exit begin
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000004984 | ..\src\aspera_manager.cpp:AsperaManager::clear:00441 | [manager] clear begin
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01542 | [manager] do download thread - 0 end
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000001736 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01361 | [manager] do upload thread - 0 end
2017-12-04 00:43:06.999 GMT+08:00 Mon |    Debug | T0000008508 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 0 run end
2017-12-04 00:43:07.000 GMT+08:00 Mon |    Debug | T0000001736 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 0 run end
2017-12-04 00:43:07.285 GMT+08:00 Mon |    Debug | T0000004848 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01190 | [manager] do check thread - 0 end
